10.1103/PhysRevLett.81.38 r2x1
10.1103/PhysRevLett.81.38 g5u1
10.1103/PhysRevLett.81.38 n3o2
10.1103/PhysRevLett.81.38 b4h2
10.1103/PhysRevLett.81.38 p4e1
10.1103/PhysRevLett.81.38 x2y1
10.1103/PhysRevLett.81.38 p2j1
10.1103/PhysRevLett.81.38 j1m3
10.1103/PhysRevLett.81.38 j2x1
10.1103/PhysRevLett.81.38 w1s2
10.1103/PhysRevLett.81.38 d1n3
10.1103/PhysRevLett.81.38 y2s1
10.1103/PhysRevLett.81.38 k1h2
10.1103/PhysRevLett.52.1480 z4k1
10.1103/PhysRevB.13.2692 d6a3
10.1103/PhysRevB.13.2692 h4e3
10.1103/PhysRevB.13.2692 z6h3
10.1103/PhysRevA.51.R2711 z4k1
10.1103/PhysRevC.41.378 n6l1
10.1103/PhysRevD.62.093007 x2l2
10.1103/PhysRevD.62.093007 q2n1
10.1103/PhysRevD.62.093007 g5h3
10.1103/PhysRevC.21.2010 a3f1
10.1103/PhysRevC.21.2010 y3o2
10.1103/PhysRevC.21.2010 e6h2
10.1103/PhysRevD.8.2337 b3w1
10.1103/PhysRevD.8.2337 x3q2
10.1103/PhysRevC.41.374 w6l2
10.1103/PhysRevC.3.480 y2f3
10.1103/PhysRevC.42.R2283 o2z3
10.1103/PhysRevC.42.R2283 h1u1
10.1103/PhysRevC.55.2734 u5g3
10.1103/PhysRevC.55.2734 b5a1
10.1103/PhysRevD.48.839 b3r2
10.1103/PhysRevD.48.839 w3v2
10.1103/PhysRevD.48.839 r3u3
10.1103/PhysRevD.50.1161 o2z1
10.1103/PhysRevD.50.1161 a4y1
10.1103/PhysRevD.50.1161 k2l1
10.1103/PhysRevD.50.1161 g5w1
10.1103/PhysRevD.60.055007 u3n3
10.1103/PhysRevB.49.13219 o4j3
10.1103/PhysRevB.49.13219 v2k2
10.1103/PhysRevLett.80.1349 b1o2
10.1103/PhysRevLett.80.1349 j5c3
10.1103/PhysRevE.64.022201 y6r2
10.1103/PhysRevE.64.022201 v2p3
10.1103/PhysRevLett.59.1476 l1b2
10.1103/PhysRevLett.59.1476 r3b1
10.1103/PhysRevC.3.1877 l6m2
10.1103/PhysRevE.54.R3063 j1x2
10.1103/PhysRevE.54.R3063 u2q3
10.1103/PhysRevB.42.9896 s4z3
10.1103/PhysRevB.42.9896 x3q3
10.1103/PhysRevB.34.8196 c1g1
10.1103/PhysRevB.34.8196 m4p2
10.1103/PhysRevD.62.025003 j6z3
10.1103/PhysRevD.62.025003 l6q3
10.1103/PhysRevD.62.025003 c5o1
10.1103/PhysRevD.62.025003 m2s2
10.1103/PhysRevB.59.899 b4s2
10.1103/PhysRevB.59.899 e4r1
10.1103/PhysRevD.66.045031 e5w3
10.1103/PhysRevA.65.062711 x2v1
10.1103/PhysRevB.69.024205 w5m2
10.1103/PhysRevB.69.024205 e3t2
10.1103/PhysRevB.52.7428 e3q1
10.1103/PhysRevB.52.7428 u1d3
10.1103/PhysRevB.52.7428 b4v1
10.1103/PhysRevD.24.2586 l6y2
10.1103/PhysRevD.41.667 x1r3
10.1103/PhysRevE.64.011911 p3g2
10.1103/PhysRevLett.70.49 u1l1
10.1103/PhysRevLett.70.49 t6n3
10.1103/PhysRevB.6.1589 j2x3
10.1103/PhysRevB.6.1589 l1g1
10.1103/PhysRevLett.49.1083 t5e3
10.1103/PhysRevB.31.5355 o3p1
10.1103/PhysRevB.31.5355 m6u2
10.1103/PhysRevB.49.13070 a2b2
10.1103/PhysRevB.49.13070 v2k2
10.1103/PhysRevD.30.2251 d5l1
10.1103/PhysRevD.30.2251 m4o2
10.1103/PhysRevD.12.2886 t6o3
10.1103/PhysRevA.29.1865 v4f1
10.1103/PhysRevA.29.1865 r5k1
10.1103/PhysRevA.55.2467 z4k1
10.1103/PhysRevA.55.1533 x5c2
10.1103/PhysRevA.55.1533 c6o1
10.1103/PhysRevE.61.1072 z3j2
10.1103/PhysRevB.40.6850 n1n1
10.1103/PhysRevB.40.6850 b4y3
10.1103/PhysRevB.40.6850 e1d1
10.1103/PhysRevB.40.6850 z2m2
10.1103/PhysRevB.40.6850 k4o3
10.1103/PhysRevE.62.3186 z6t3
10.1103/PhysRevE.62.3186 j6q2
10.1103/PhysRevB.47.1123 d1j3
10.1103/PhysRevB.47.1123 t1z3
10.1103/PhysRevB.47.1123 e6w2
10.1103/PhysRevB.47.1123 z1n3
10.1103/PhysRevB.47.1123 b4v1
10.1103/PhysRevB.47.1123 v1r2
10.1103/PhysRevB.47.1123 c1g1
10.1103/PhysRevB.47.1123 f1p1
10.1103/PhysRevD.65.095006 q2n2
10.1103/PhysRevD.65.095006 w4e3
10.1103/PhysRevB.47.1126 u1r2
10.1103/PhysRevLett.78.3039 a2q2
10.1103/PhysRevLett.78.3039 z2n2
10.1103/PhysRevA.65.042322 o5n3
10.1103/PhysRevE.50.2503 b4l3
10.1103/PhysRevE.50.2503 v2h3
10.1103/PhysRevB.37.6783 g2m1
10.1103/PhysRevA.43.4372 j3s1
10.1103/PhysRevA.43.4372 x1c1
10.1103/PhysRevA.43.4372 q4b3
10.1103/PhysRevA.43.4372 z5u1
10.1103/PhysRevA.43.4372 g6f3
10.1103/PhysRevA.43.4372 o6h3
10.1103/PhysRevD.59.088502 h2b1
10.1103/PhysRevE.57.5217 h5e3
10.1103/PhysRevD.27.2835 m5l2
10.1103/PhysRevD.27.2835 n3c3
10.1103/PhysRevC.18.2118 c5n1
10.1103/PhysRevC.18.2118 d5j3
10.1103/PhysRevE.69.031105 a5h2
10.1103/PhysRevA.67.012708 j2x3
10.1103/PhysRevA.67.012708 r3g2
10.1103/PhysRevD.66.053004 r1a2
10.1103/PhysRevD.66.053004 z2e2
10.1103/PhysRevLett.60.1586 l1b2
10.1103/PhysRevLett.60.1586 r3b1
10.1103/PhysRevB.28.5730 e3y3
10.1103/PhysRevB.28.5730 q1o1
10.1103/PhysRevB.28.5730 v2k3
10.1103/PhysRevC.2.566 r2y2
10.1103/PhysRevC.2.566 t5t3
10.1103/PhysRevC.2.566 t4a2
10.1103/PhysRevA.30.2311 j4c3
10.1103/PhysRevA.30.2311 z4o3
10.1103/PhysRevD.56.625 a6c1
10.1103/PhysRevD.56.625 n1b2
10.1103/PhysRevB.35.607 r2a3
10.1103/PhysRevB.35.607 d6g1
10.1103/PhysRevA.41.5561 d6l1
10.1103/PhysRevD.18.4767 h5n3
10.1103/PhysRevD.18.4767 p4g2
10.1103/PhysRevC.45.1171 v5x2
10.1103/PhysRevC.45.1171 z2u1
10.1103/PhysRevC.45.1171 t3g3
10.1103/PhysRevB.63.214404 n6f2
10.1103/PhysRevB.63.214404 t6y3
10.1103/PhysRevB.63.214404 j2v1
10.1103/PhysRevB.63.214404 y4v3
10.1103/PhysRevB.63.214404 r5a3
10.1103/PhysRevB.12.1314 p5k2
10.1103/PhysRevB.12.1314 e2l2
10.1103/PhysRevD.53.3976 e1e3
10.1103/PhysRevD.27.2783 f4y2
10.1103/PhysRevE.52.4168 n5e2
10.1103/PhysRevE.52.4168 d4x3
10.1103/PhysRevA.18.2167 m5k3
10.1103/PhysRevC.30.789 z6o3
10.1103/PhysRevC.30.789 v5m2
10.1103/PhysRevC.30.789 x6y2
10.1103/PhysRevA.29.2251 b6g2
10.1103/PhysRevA.29.2251 q1v3
10.1103/PhysRevD.67.074009 p2e2
10.1103/PhysRevC.59.1179 z4s2
10.1103/PhysRevC.59.1179 p3n2
10.1103/PhysRevC.59.1179 o6j1
10.1103/PhysRevC.59.1179 g3c1
10.1103/PhysRevC.59.1179 f6e3
10.1103/PhysRevC.59.1179 b3a3
10.1103/PhysRevC.59.1179 k2p2
10.1103/PhysRevC.59.1179 p4m2
